%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	( ( The ( little boy ) ) ( is ( ( ( sticking ( his tongue ) ) out ) ( for ( ( ( ( the camera ) and ) ( another boy ) ) ( is ( looking on ) ) ) ) ) ) )	( ( ( Two ( young boys ) ) ( are ( ( looking up ) ( at ( ( ( the camera ) and ) one ) ) ) ) ) ( is ( ( sticking out ) ( his tongue ) ) ) )	4.4	9745
CONTRADICTION	( ( ( A ( few men ) ) ( in ( a competition ) ) ) ( are ( running outside ) ) )	( ( ( A ( few men ) ) ( in ( a competition ) ) ) ( are ( running indoors ) ) )	3.9	717
NEUTRAL	( ( A person ) ( is ( eating ( in ( a restaurant ) ) ) ) )	( ( A person ) ( is ( making ( a bed ) ) ) )	1.2	5657
NEUTRAL	( ( A ( race ( car driver ) ) ) ( ( ( is ( standing up ) ) and ) ( ( is fiercely ) ( ( pointing ( his hand ) ) ( at ( the sky ) ) ) ) ) )	( ( ( The person ) ( in ( the ( blue jacket ) ) ) ) ( is ( wearing ( a ( colorful helmet ) ) ) ) )	1.6	6158
ENTAILMENT	( ( A girl ) ( is ( eating ( a cupcake ) ) ) )	( ( A cupcake ) ( is ( being ( eaten ( by ( a girl ) ) ) ) ) )	5	5588
ENTAILMENT	( ( A lady ) ( is ( ( cutting ( up ( some meat ) ) ) precisely ) ) )	( ( Some meat ) ( is ( being ( ( cut ( into pieces ) ) ( by ( a woman ) ) ) ) ) )	4.8	2058
NEUTRAL	( ( ( Not ( a lot ) ) ( of people ) ) ( are ( in ( an ( ice ( skating park ) ) ) ) ) )	( ( An ( ice ( skating rink ) ) ) ( placed ( outdoors ( is ( full ( of people ) ) ) ) ) )	3.5	873
ENTAILMENT	( ( The man ) ( is ( ( hurling knives ) ( at ( a tree ) ) ) ) )	( ( The man ) ( is ( ( throwing knives ) ( at ( a tree ) ) ) ) )	4.6	4066
ENTAILMENT	( ( A dog ) ( is ( ( running breathlessly ) ( on ( the road ) ) ) ) )	( ( A dog ) ( is ( running ( on ( the road ) ) ) ) )	4.5	4054
CONTRADICTION	( Nobody ( is ( ( ( standing ( in ( the ocean ) ) ) and ) ( watching ( the sunset ) ) ) ) )	( ( Two people ) ( are ( ( ( standing ( in ( the ocean ) ) ) and ) ( watching ( the sunset ) ) ) ) )	2.5	6146
NEUTRAL	( ( Three men ) ( are ( practicing ( karate outdoors ) ) ) )	( ( ( Three boys ) ( in ( karate costumes ) ) ) ( are fighting ) )	3.8	1506
CONTRADICTION	( There ( is ( ( no boy ) ( walking ( across ( a bridge ) ) ) ) ) )	( ( A boy ) ( is ( walking ( across ( a bridge ) ) ) ) )	3.7	3222
ENTAILMENT	( ( ( A ( young girl ) ) ( in ( a bikini ) ) ) ( is ( jumping ( on ( the beach ) ) ) ) )	( ( ( A ( young girl ) ) ( in ( swimming suite ) ) ) ( is ( jumping ( on ( the beach ) ) ) ) )	4.4	8986
NEUTRAL	( ( A dog ) ( is ( running ( with ( a ball ) ) ) ) )	( ( The ( black dog ) ) ( is ( carrying ( ( a ( ( ( blue and ) white ) ball ) ) ( in ( its mouth ) ) ) ) ) )	4	9224
NEUTRAL	( ( A ( big fish ) ) ( is ( catching ( a man ) ) ) )	( ( A woman ) ( is ( deboning ( a fish ) ) ) )	1.9	3420
NEUTRAL	( ( ( Four people ) ( are ( ( walking ( along ( ( ( a ( city sidewalk ) ) and ) ( the one ) ) ) ) ( in ( the ( green hat ) ) ) ) ) ) ( is ( phoning someone ) ) )	( ( ( A group ) ( of people ) ) ( is ( ( ( walking down ) ( ( ( the street ) and ) ( a person ) ) ) ( in ( ( a ( green hat ) ) ( is ( on ( the phone ) ) ) ) ) ) ) )	4.2	9336
CONTRADICTION	( ( The man ) ( is ( ( tossing ( a kid ) ) ( into ( ( the ( swimming pool ) ) ( that ( is ( near ( the ocean ) ) ) ) ) ) ) ) )	( ( A man ) ( ( is n't ) ( ( tossing ( a kid ) ) ( into ( ( the ( swimming pool ) ) ( that ( is ( near ( the ocean ) ) ) ) ) ) ) ) )	3.5	630
NEUTRAL	( Nobody ( is ( slicing ( a tomato ) ) ) )	( ( The person ) ( is ( slicing ( a vegetable ) ) ) )	3.1	2544
CONTRADICTION	( There ( is ( ( no man ) ( drawing ( a picture ) ) ) ) )	( ( A man ) ( is ( drawing ( a picture ) ) ) )	3.9	4086
ENTAILMENT	( ( A man ) ( is ( cutting ( a note ) ) ) )	( ( A man ) ( is ( cutting ( a paper ) ) ) )	4.4	4360
ENTAILMENT	( ( Two ( white dogs ) ) ( ( are quickly ) ( running together ) ) )	( ( Two ( white dogs ) ) ( are ( running together ) ) )	4.6	8714
ENTAILMENT	( ( The lady ) ( is ( slicing ( a tomato ) ) ) )	( Someone ( is ( cutting ( a tomato ) ) ) )	4.7	2405
CONTRADICTION	( There ( is ( ( no woman ) ( slicing ( a fish ) ) ) ) )	( ( A woman ) ( is ( slicing ( a fish ) ) ) )	2.7	4966
NEUTRAL	( ( A snowboarder ) ( is ( ( grinding down ) ( a ( long ( concrete rail ) ) ) ) ) )	( ( A person ) ( is ( ( doing acrobatics ) ( on ( a snowboard ) ) ) ) )	3.3	9314
ENTAILMENT	( ( A man ) ( is ( ( applying ( a silencer ) ) ( to ( a gun ) ) ) ) )	( ( A man ) ( is ( ( fitting ( a silencer ) ) ( to ( a pistol ) ) ) ) )	4.8	4734
ENTAILMENT	( ( Two ( white dogs ) ) ( are ( playing ( with ( ( ( a ( brown dog ) ) and ) ( a ( tennis ball ) ) ) ) ) ) )	( ( Two ( white dogs ) ) ( are ( playing ( with ( ( ( a ( brown dog ) ) and ) ( a ball ) ) ) ) ) )	4.7	7889
ENTAILMENT	( ( A ( small ( guinea pig ) ) ) ( is ( ( ( ( gnawing and ) eating ) ( ( a piece ) ( of carrot ) ) ) ( on ( the floor ) ) ) ) )	( ( A ( guinea pig ) ) ( is ( devouring ( a carrot ) ) ) )	4.5	2795
ENTAILMENT	( ( A man ) ( is ( climbing ( a rope ) ) ) )	( ( A man ) ( is ( ( climbing up ) ( a rope ) ) ) )	4.8	4011
ENTAILMENT	( ( A ( bull dog ) ) ( is ( being ( brushed ( by ( the monkey ) ) ) ) ) )	( ( The monkey ) ( is ( brushing ( a ( bull dog ) ) ) ) )	4.8	2604
ENTAILMENT	( ( A man ) ( is ( dancing ( on ( ( the ceiling ) ( of ( a room ) ) ) ) ) ) )	( ( The man ) ( is ( ( dancing upside-down ) ( on ( the ceiling ) ) ) ) )	4.4	3880
CONTRADICTION	( ( A woman ) ( ( ( is ( driving ( a car ) ) ) and ) ( is ( talking ( to ( ( the man ) ( who ( is ( seated ( beside her ) ) ) ) ) ) ) ) ) )	( There ( is ( ( no woman ) ( ( ( driving ( a car ) ) and ) ( talking ( to ( ( the man ) ( seated ( beside her ) ) ) ) ) ) ) ) )	4.7	3061
ENTAILMENT	( ( ( ( A ( black dog ) ) and ) ( a ( small ( ( ( white and ) black ) dog ) ) ) ) ( are ( ( looking up ) ( at ( a ( kitchen countertop ) ) ) ) ) )	( ( ( ( A ( large dog ) ) and ) ( a ( small dog ) ) ) ( ( ( are ( ( standing next ) ( to ( the ( kitchen counter ) ) ) ) ) and ) ( are investigating ) ) )	4.2	8576
CONTRADICTION	( ( A woman ) ( is ( ( ( ( ( taking off ) ( ( ( a cloak ) , ) ( which ( is ( very large ) ) ) ) ) , ) and ) ( revealing ( an ( extravagant dress ) ) ) ) ) )	( ( A woman ) ( is ( ( ( putting ( on ( ( ( ( a cloak ) , ) ( which ( is ( very large ) ) ) ) , ) ) ) and ) ( concealing ( an ( extravagant dress ) ) ) ) ) )	3.5	592
NEUTRAL	( ( A man ) ( is ( ( chopping ( a log ) ) ( with ( an axe ) ) ) ) )	( ( The man ) ( is ( ( chopping ( a ( tree trunk ) ) ) ( with ( an axe ) ) ) ) )	4.4	3459
NEUTRAL	( ( A child ) ( is ( swimming ( underwater ( in ( a pool ) ) ) ) ) )	( ( A child ) ( is ( smiling ( at ( the ( camera ( and ( swimming underwater ) ) ) ) ) ) ) )	4.1	7394
NEUTRAL	( ( A man ) ( is ( ( doing ( back flips ) ) ( on ( a trampoline ) ) ) ) )	( ( Several boys ) ( are ( jumping ( on ( a trampoline ) ) ) ) )	3.4	4140
NEUTRAL	( ( An ( old ( , ( topless woman ) ) ) ) ( is ( covered ( in paint ) ) ) )	( ( A ( young ( , ( topless woman ) ) ) ) ( is ( covered ( in paint ) ) ) )	3.8	304
ENTAILMENT	( ( ( A ( black dog ) ) ( is ( running ( in ( ( ( the grass ) and ) ( its tongue ) ) ) ) ) ) ( is ( hanging out ) ) )	( ( A ( black dog ) ) ( is ( running ( in ( the grass ) ) ) ) )	4.9	6287
NEUTRAL	( ( A man ) ( is ( wearing ( ( a ( blue shirt ) ) ( which ( ( ( has ( long ( ( sleeves and ) jeans ) ) ) and ) ( is ( ( riding ( a unicycle ) ) ( down ( a street ) ) ) ) ) ) ) ) ) )	( ( A man ) ( is ( ( ( wearing ( a ( blue ( checkered shirt ) ) ) ) and ) ( riding ( ( a unicycle ) ( in ( the street ) ) ) ) ) ) )	4.3	7319
CONTRADICTION	( ( A person ) ( is ( cutting ( some ginger ) ) ) )	( There ( is ( ( no person ) ( cutting ( some ginger ) ) ) ) )	3.8	4816
ENTAILMENT	( Swimmers ( are ( racing ( in ( a lake ) ) ) ) )	( ( Some racers ) ( are ( swimming ( in ( a lake ) ) ) ) )	4.3	3733
NEUTRAL	( ( A man ) ( is ( cutting onions ) ) )	( ( A woman ) ( is ( cutting ( an onion ) ) ) )	3.5	5047
NEUTRAL	( ( A man ) ( is ( running ( on ( the road ) ) ) ) )	( ( A dog ) ( is ( ( running breathlessly ) ( on ( the road ) ) ) ) )	2.6	4060
ENTAILMENT	( ( A person ) ( is ( peeling ( a potato ) ) ) )	( ( A potato ) ( is ( being ( peeled ( by ( a person ) ) ) ) ) )	5	5799
ENTAILMENT	( ( ( ( ( A ( guinea pig ) ) , ) ( which ( is small ) ) ) , ) ( is ( ( ( ( gnawing and ) eating ) ( ( a piece ) ( of carrot ) ) ) ( on ( the floor ) ) ) ) )	( ( A ( small ( guinea pig ) ) ) ( is ( ( ( ( gnawing and ) eating ) ( ( a piece ) ( of carrot ) ) ) ( on ( the floor ) ) ) ) )	4.8	2791
ENTAILMENT	( ( A rollerblader ) ( is ( performing ( ( a trick ) ( on ( a ramp ) ) ) ) ) )	( ( A trick ) ( is ( being ( performed ( by ( ( a rollerblader ) ( on ( a ramp ) ) ) ) ) ) ) )	5	7064
CONTRADICTION	( ( A man ) ( is ( playing ( a flute ) ) ) )	( ( A man ) ( ( is not ) ( playing ( a flute ) ) ) )	4.2	5454
ENTAILMENT	( ( ( A girl ) ( in blue ) ) ( is ( ( sliding down ) ( a ( green slide ) ) ) ) )	( ( ( The ( young girl ) ) ( in blue ) ) ( is ( enjoying ( a slide ) ) ) )	4.3	8383
NEUTRAL	( ( ( A group ) ( of scouts ) ) ( are ( hiking ( through ( the grass ) ) ) ) )	( ( ( A group ) ( of explorers ) ) ( are ( walking ( through ( the grass ) ) ) ) )	4.1	402
NEUTRAL	( ( A family ) ( is ( ( buying something ) ( at ( the ( vending machine ) ) ) ) ) )	( ( ( A man ) ( in ( a suit ) ) ) ( is ( standing ( at ( a ( ( microphone and ) singing ) ) ) ) ) )	1	9843
NEUTRAL	( ( A tower ) ( is ( being ( looked ( at ( by ( a ( blonde lady ) ) ) ) ) ) ) )	( ( A woman ) ( is ( looking ( at ( ( the view ) ( of ( a city ) ) ) ) ) ) )	3.3	7363
CONTRADICTION	( ( Two ( bmx bikers ) ) ( are ( ( jumping ( dirt ramps ) ) ( in ( front ( of ( ( a body ) ( of water ) ) ) ) ) ) ) )	( There ( is ( ( no ( bmx biker ) ) ( ( jumping ( dirt ramps ) ) ( in ( front ( of ( ( a body ) ( of water ) ) ) ) ) ) ) ) )	4.4	8326
NEUTRAL	( ( A ( large ( green ball ) ) ) ( is ( hitting ( a potato ) ) ) )	( ( A ( large ( green ball ) ) ) ( is ( missing ( a potato ) ) ) )	3.5	2968
ENTAILMENT	( ( Some corndogs ) ( are ( being ( eaten ( by ( ( two toddlers ) ( who ( are ( in ( ( ( a wagon ) , ) ( which ( is ( really small ) ) ) ) ) ) ) ) ) ) ) ) )	( ( Two toddlers ) ( are ( ( eating corndogs ) ( in ( ( ( a wagon ) , ) ( which ( is ( really small ) ) ) ) ) ) ) )	4.8	947
ENTAILMENT	( ( A man ) ( is ( standing ( on ( ( a boat ) ( in ( front ( of ( ( the sunset ) ( near ( a flag ) ) ) ) ) ) ) ) ) ) )	( ( A man ) ( is ( on ( ( a boat ) ( in ( front ( of ( the sunset ) ) ) ) ) ) ) )	4.1	6219
NEUTRAL	( ( ( The ( white reindeer ) ) ( wearing ( dog ears ) ) ) ( is ( near ( a ( brown reindeer ) ) ) ) )	( ( A ( white dog ) ) ( is ( wearing ( ( a ( Christmas reindeer ) ) ( ( headband and ) ( is ( playing ( with ( ( a ( brown dog ) ) ( in ( the grass ) ) ) ) ) ) ) ) ) ) )	2.2	6344
NEUTRAL	( ( ( A man ) ( in green ) ) ( is ( kicking ( ( ( ( a ( soccer ball ) ) and ) ( ( a man ) ( in ( ( purple and ) white ) ) ) ) ( is ( rising up ) ) ) ) ) )	( ( The players ) ( is ( maneuvering ( for ( the ( soccer ball ) ) ) ) ) )	3.5	9380
NEUTRAL	( ( ( ( ( Two ( large dogs ) ) , ) ( ( ( a ( light ( colored one ) ) ) and ) ( a ( dark one ) ) ) ) , ) ( are ( sleeping ( on ( a ( snowy terrain ) ) ) ) ) )	( ( Two dogs ) ( are ( leaping ( through ( snowy ( ( grass and ) rocks ) ) ) ) ) )	2.4	8375
NEUTRAL	( ( A flute ) ( ( is n't ) ( being ( played ( by ( a man ) ) ) ) ) )	( ( A man ) ( is ( playing ( ( the guitar ) loudly ) ) ) )	2.4	1811
ENTAILMENT	( ( ( ( ( ( ( The girl ) , ) ( who ( is little ) ) ) , ) ( is swinging ) ) and ) ( ( the woman ) ( is ( standing behind ) ) ) )	( ( ( ( The ( little girl ) ) ( is swinging ) ) and ) ( ( the woman ) ( is ( standing ( behind her ) ) ) ) )	4.9	7445
ENTAILMENT	( ( Three women ) ( are dancing ) )	( ( A ( few women ) ) ( are dancing ) )	4.6	2566
CONTRADICTION	( ( A man ) ( is ( playing ( a ( wooden flute ) ) ) ) )	( There ( is ( ( no man ) ( playing ( a ( wooden flute ) ) ) ) ) )	3.7	4155
NEUTRAL	( ( A man ) ( ( ( is ( standing ( near ( a bike ) ) ) ) and ) ( is ( writing ( on ( a ( piece paper ) ) ) ) ) ) )	( ( A man ) ( ( ( is ( sitting ( near ( a bike ) ) ) ) and ) ( is ( writing ( a note ) ) ) ) )	3.6	394
ENTAILMENT	( ( ( A child ) ( in ( light ( colored clothing ) ) ) ) ( is ( standing ( with ( ( his arms ) ( extended outward ) ) ) ) ) )	( ( ( A child ) ( in ( clothing ( which ( is ( light colored ) ) ) ) ) ) ( is ( standing ( with ( ( his arms ) ( extended outward ) ) ) ) ) )	5	7018
ENTAILMENT	( ( The man ) ( is ( lifting barbells ) ) )	( ( The man ) ( is ( lifting weights ) ) )	4.3	2898
NEUTRAL	( ( A woman ) ( is ( taking ( ( a mixture ) ( out ( of ( a bowl ) ) ) ) ) ) )	( ( A woman ) ( is ( preparing ( ( an egg ) ( in ( a skillet ) ) ) ) ) )	2.7	2822
NEUTRAL	( ( A boy ) ( is ( ( filling ( a pitcher ) ) ( with water ) ) ) )	( ( A woman ) ( is ( ( collecting ( the water ) ) ( from ( ( a tap ) ( in ( a mug ) ) ) ) ) ) )	2.7	3661
ENTAILMENT	( ( A man ) ( is ( practicing ( the drum ) ) ) )	( ( A man ) ( is ( playing ( the drum ) ) ) )	4.6	3586
NEUTRAL	( ( A waterfall ) ( is ( flowing ( into ( a ( shallow pool ) ) ) ) ) )	( ( The people ) ( are ( ( walking ( on ( the road ) ) ) ( beside ( a ( beautiful waterfall ) ) ) ) ) )	2.3	6394
ENTAILMENT	( ( ( ( A man ) and ) ( a woman ) ) ( are ( ( walking together ) ( through ( the woods ) ) ) ) )	( ( ( ( A man ) and ) ( a woman ) ) ( are ( hiking ( through ( a ( wooded area ) ) ) ) ) )	4.3	1190
NEUTRAL	( ( A ( white man ) ) ( is ( ( walking ( next ( to ( a building ) ) ) ) ( in ( a ( big city ) ) ) ) ) )	( ( A ( black man ) ) ( is ( ( walking ( next ( to ( a building ) ) ) ) ( in ( a ( big city ) ) ) ) ) )	3.3	8389
CONTRADICTION	( ( The lady ) ( is ( slicing ( a tomato ) ) ) )	( There ( ( is ( no one ) ) ( cutting ( a tomato ) ) ) )	3	2404
NEUTRAL	( ( A man ) ( is ( flooring ( a ( sitting ( guitar player ) ) ) ) ) )	( ( A man ) ( is ( ( ( sitting ( on ( ( the floor ) ( in ( a room ) ) ) ) ) and ) ( strumming ( a guitar ) ) ) ) )	2.3	3107
NEUTRAL	( ( Three ( young men ) ) ( ( are furiously ) ( ( ( ( running , ) jumping ) and ) ( kicking ( near ( a ( vending machine ) ) ) ) ) ) )	( ( Three men ) ( are ( ( jumping off ) ( a wall ) ) ) )	2.5	1470
NEUTRAL	( ( A dog ) ( is ( leaving ( ( a ball ) ( in ( the dirt ) ) ) ) ) )	( ( A dog ) ( is ( ( chasing ( a ball ) ) ( through dirt ) ) ) )	3.7	5955
NEUTRAL	( ( ( A group ) ( of people ) ) ( are marching ) )	( ( ( A group ) ( of people ) ) ( are ( dancing ( in ( a show ) ) ) ) )	2.3	5540
NEUTRAL	( ( ( The microphone ) ( in ( front ( of ( the ( talking parrot ) ) ) ) ) ) ( is ( being muted ) ) )	( ( The parrot ) ( is ( talking ( into ( the microphone ) ) ) ) )	4	1861
ENTAILMENT	( ( A woman ) ( is ( using ( ( a machine ) ( made ( for sewing ) ) ) ) ) )	( ( A woman ) ( is ( sewing ( with ( a machine ) ) ) ) )	4.8	2166
CONTRADICTION	( ( ( A girl ) ( in white ) ) ( is dancing ) )	( There ( is ( ( no girl ) ( in ( white dancing ) ) ) ) )	4.2	219
ENTAILMENT	( ( The woman ) ( is ( slicing ( cooked octopus ) ) ) )	( ( A woman ) ( is ( ( chopping up ) ( an octopus ) ) ) )	4.4	4288
NEUTRAL	( ( A boy ) ( is ( playing ( a piano ) ) ) )	( There ( is ( no ( man ( ( ( singing and ) playing ) ( a guitar ) ) ) ) ) )	2.2	3996
NEUTRAL	( ( A ( snow ball ) ) ( is ( being ( made ( by ( a child ) ) ) ) ) )	( ( ( A kid ) ( in orange ) ) ( is ( ( playing outside ) ( with ( a snowball ) ) ) ) )	3.3	6729
ENTAILMENT	( ( A man ) ( is ( rowing ( a canoe ) ) ) )	( ( A man ) ( is ( rowing ( a boat ) ) ) )	4.2	5806
NEUTRAL	( ( The elephant ) ( is ( being ( ridden ( by ( the woman ) ) ) ) ) )	( ( A person ) ( is ( slicing ( some mushrooms ) ) ) )	1	9763
ENTAILMENT	( ( A woman ) ( is ( slicing ( ( a pepper ) ( which ( is green ) ) ) ) ) )	( ( A woman ) ( is ( slicing ( a ( green pepper ) ) ) ) )	4.8	3812
CONTRADICTION	( There ( is ( ( no boy ) ( checking ( a calendar ) ) ) ) )	( ( A boy ) ( is ( looking ( at ( a calendar ) ) ) ) )	3.9	3941
CONTRADICTION	( ( A man ) ( is ( ( cutting ( a ( thick rope ) ) ) ( with ( a sword ) ) ) ) )	( There ( is ( ( no man ) ( ( cutting ( a rope ) ) ( with ( a sword ) ) ) ) ) )	3.6	4650
NEUTRAL	( ( ( A group ) ( of people ) ) ( is ( ( ( holding drinks ) and ) ( pointing ( at ( the camera ) ) ) ) ) )	( ( A man ) ( is ( playing ( an ( electric guitar ) ) ) ) )	1	9788
NEUTRAL	( ( The man ) ( is ( ( sprinkling cheese ) ( on ( the pizza ) ) ) ) )	( ( The cook ) ( is ( ( sprinkling cheese ) ( on ( the pizza ) ) ) ) )	4	5698
ENTAILMENT	( ( A ( young mother ) ) ( is ( playing ( with ( ( her boy ) ( in ( the park ) ) ) ) ) ) )	( ( A ( young boy ) ) ( is ( playing ( in ( ( the park ) ( with ( his mother ) ) ) ) ) ) )	4.5	7677
NEUTRAL	( ( ( A boy ) ( in ( a ( white t-shirt ) ) ) ) ( is ( splashing ( in ( shallow water ) ) ) ) )	( ( A girl ) ( is ( running ( through ( ( the water ) ( at ( the beach ) ) ) ) ) ) )	2.3	7950
NEUTRAL	( ( A woman ) ( is ( ( putting away ) carrots ) ) )	( ( A woman ) ( is ( coating ( ( a pork ) chop ) ) ) )	1.7	3291
ENTAILMENT	( ( Two ( sumo wrestlers ) ) ( are fighting ) )	( ( Two ( sumo ringers ) ) ( are fighting ) )	4	5113
ENTAILMENT	( ( A surfer ) ( is ( surfing ( a ( huge wave ) ) ) ) )	( ( A surfer ) ( is ( surfing ( a ( big wave ) ) ) ) )	4.9	9359
NEUTRAL	( ( ( A crowd ) ( of people ) ) ( is ( near ( the water ) ) ) )	( ( ( ( ( A group ) ( of ( children ( in uniforms ) ) ) ) ( is ( standing ( at ( a gate ) ) ) ) ) and ) ( there ( ( is ( no one ) ) ( kissing ( the mother ) ) ) ) )	1.3	317
NEUTRAL	( ( The woman ) ( ( ( ( is not ) ( wearing ( a ( red jacket ) ) ) ) and ) ( ( is not ) ( holding ( ( a glass ) ( in ( front ( of ( ( the man ) ( in ( a ( white t-shirt ) ) ) ) ) ) ) ) ) ) ) )	( ( A person ) ( is ( ( ( wearing ( a ( red jacket ) ) ) and ) ( holding ( a beer ) ) ) ) )	2.4	7501
NEUTRAL	( ( A man ) ( is ( slicing ( a tomato ) ) ) )	( ( A man ) ( is ( slicing ( a bun ) ) ) )	3.6	1232
NEUTRAL	( ( ( A ( young girl ) ) ( in ( a ( blue shirt ) ) ) ) ( is ( ( ( walking ( on ( the sidewalk ) ) ) and ) ( ( holding up ) ( a ( pink sign ) ) ) ) ) )	( ( ( A ( young girl ) ) ( by ( a ( pink sign ) ) ) ) ( ( ( is ( ( holding up ) ( a ( blue shirt ) ) ) ) and ) ( is ( walking ( on ( the sidewalk ) ) ) ) ) )	3.4	6005
NEUTRAL	( ( A man ) ( is scared ) )	( ( A man ) ( is screaming ) )	3.6	1396
ENTAILMENT	( ( A ( young girl ) ) ( ( ( is ( wearing ( ( ( a ( blue ( patterned ( swim suit ) ) ) ) , ) ( a ( ( ( black and ) yellow ) ( swim cap ) ) ) ) ) ) and ) ( has ( ( blue ( swimming goggles ) ) ( on ( her head ) ) ) ) ) )	( ( A ( little girl ) ) ( ( ( is ( wearing ( ( ( a ( blue ( patterned ( swim suit ) ) ) ) , ) ( a ( ( ( black and ) yellow ) ( swim cap ) ) ) ) ) ) and ) ( has ( ( blue ( swimming goggles ) ) ( on ( the head ) ) ) ) ) )	4.8	8057
NEUTRAL	( ( Two men ) ( are ( outside ( a ( cattle pen ) ) ) ) )	( ( Two men ) ( are ( fighting ( in ( a ( cattle pen ) ) ) ) ) )	3	2936
NEUTRAL	( ( Two dogs ) ( are ( running ( through water ) ) ) )	( ( Two dogs ) ( are ( running ( through ( high grass ) ) ) ) )	3.335	8220
ENTAILMENT	( ( ( A man ) ( in ( a ( black jersey ) ) ) ) ( is ( standing ( in ( a gym ) ) ) ) )	( ( A man ) ( ( ( is ( standing ( in ( a gym ) ) ) ) and ) ( is ( wearing ( a jersey ) ) ) ) )	4.5	9136
NEUTRAL	( ( One man ) ( is ( ( climbing ( a cliff ) ) ( with ( a rope ) ) ) ) )	( ( ( A person ) ( with ( pink ( climbing gear ) ) ) ) ( roped ( the rock ) ) )	3.3	647
CONTRADICTION	( ( A woman ) ( is ( ( ( dancing and ) singing ) ( with ( other women ) ) ) ) )	( ( A woman ) ( is ( ( ( dancing and ) singing ) alone ) ) )	3.285	1236
CONTRADICTION	( There ( is ( ( no man ) ( ( opening ( a box ) ) ( with ( a knife ) ) ) ) ) )	( ( A man ) ( is ( ( opening ( a box ) ) ( with ( a knife ) ) ) ) )	3.8	4843
NEUTRAL	( ( A man ) ( is ( parking ( ( a car ) ( in ( a garage ) ) ) ) ) )	( ( A man ) ( is ( getting ( into ( a car ) ) ) ) )	3.4	2679
NEUTRAL	( ( The lady ) ( is ( ( slicing up ) ( the meat ) ) ) )	( ( The lady ) ( ( is n't ) ( cracking ( ( an egg ) ( for ( the mixer ) ) ) ) ) )	2.335	2662
ENTAILMENT	( ( Two dogs ) ( are ( playing ( by ( a tree ) ) ) ) )	( ( Two dogs ) ( are ( playing ( by ( a plant ) ) ) ) )	4.6	211
NEUTRAL	( ( A man ) ( ( is carelessly ) ( holding ( a frog ) ) ) )	( ( A man ) ( is ( emptying ( ( a container ) ( made ( of plastic ) ) ) ) ) )	1.1	1711
NEUTRAL	( ( A man ) ( ( is lazily ) ( ( walking down ) ( a road ) ) ) )	( ( The man ) ( is ( ( walking ( along ( a path ) ) ) ( through ( the wilderness ) ) ) ) )	3.285	3862
NEUTRAL	( ( Two ( young girls ) ) ( are ( ( ( wearing hats ) and ) ( ( sticking ( their ( colored tongues ) ) ) out ) ) ) )	( ( Two kids ) ( are ( ( sticking out ) ( ( ( blue and ) green ) ( colored tongues ) ) ) ) )	3.6	9056
NEUTRAL	( ( No lady ) ( ( ( is ( standing ( on ( the street ) ) ) ) and ) ( is ( surrounded ( by ( school children ) ) ) ) ) )	( ( ( A woman ) ( in ( blue jeans ) ) ) ( is ( ( standing ( in ( front ( of ( ( a group ) ( of children ) ) ) ) ) ) ( beside ( ( a stone ) ( built house ) ) ) ) ) )	3.2	9198
NEUTRAL	( ( A man ) ( is ( packing ( the guitar ) ) ) )	( ( The man ) ( is ( ( ( singing and ) playing ) ( the guitar ) ) ) )	3.4	3910
NEUTRAL	( ( ( A ( little child ) ) ( in ( a ( pink sweater ) ) ) ) ( is ( climbing ( a ( concrete staircase ) ) ) ) )	( ( A ( small child ) ) ( is ( outdoors ( climbing ( steps ( in ( a ( grassy area ) ) ) ) ) ) ) )	3.5	6709
ENTAILMENT	( ( The person ) ( is ( scrubbing ( a zucchini ) ) ) )	( ( A person ) ( is ( scrubbing ( a zucchini ) ) ) )	5	3790
NEUTRAL	( ( An onion ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) )	( ( The woman ) ( is ( cutting ( a carrot ) ) ) )	2.4	2932
CONTRADICTION	( ( A surfer ) ( is ( ( riding ( a ( big wave ) ) ) ( across ( dark ( green water ) ) ) ) ) )	( ( The surfer ) ( is ( riding ( a ( small wave ) ) ) ) )	3.9	7772
NEUTRAL	( ( A bicyclist ) ( is ( ( holding ( ( a bike ) ( over ( his head ) ) ) ) ( in ( ( a group ) ( of people ) ) ) ) ) )	( ( A cyclist ) ( is ( being ( held ( over ( ( the heads ) ( of ( ( a group ) ( of ( people ( with ( the bike ) ) ) ) ) ) ) ) ) ) ) )	3.4	6203
NEUTRAL	( ( ( A ( young woman ) ) ( with ( ( Indian ( ( clothing and ) henna ) ) ( on ( her hand ) ) ) ) ) ( is ( going ( through paperwork ) ) ) )	( ( A woman ) ( is ( wearing ( ( ( a ( colorful shirt ) ) and ) ( ( a lot ) ( of jewelry ) ) ) ) ) )	2.4	9125
CONTRADICTION	( ( A man ) ( is ( ( slicing ( a potato ) ) ( into pieces ) ) ) )	( ( A man ) ( ( is not ) ( cutting ( a potato ) ) ) )	4	4831
NEUTRAL	( ( An officer ) ( is ( talking ( to ( the recruits ) ) ) ) )	( Recruits ( are ( talking ( to ( an officer ) ) ) ) )	3.7	4934
